,Unnamed: 0,date,company,position,return_1w,return_2w,return_1m,return_2m,lower_range,higher_range,stop_loss,price,stop_loss_after_2w,price_after_2w,stop_out_cover_short ,return_after_2w,same_day,one_week,two_week,one_month,two_month
93,93,7.27,ALR,short,-0.183349323,-0.251668263,-0.290753107,-0.376866965,35,40,46,38.81,46,40.39,,-4.07%,31.469999,37.240002,39.389999,40.619999,43.330002
94,94,7.27,POOL,short,0.007487701,0.015764842,-0.002926853,0.072436427,95,101,110,101.4,110,100.03,,1.35%,100.844841,100.089745,99.255038,101.139999,93.540001
95,95,7.27,RHI,short,-0.00434664,-0.047549225,-0.025417879,0.14000773,34,38,41,36.86,41,37.44,,-1.57%,36.418932,36.577232,38.150624,37.344624,31.32
96,96,7.27,JUNO,short,-0.03095153,-0.033256436,-0.048073722,0.301284218,27,31,36,30.4,,34.07,36,-12.07%,30.370001,31.309999,31.379999,31.83,21.219999
97,97,7.27,SKX,short,0.033292232,0.029593054,-0.023427867,0.127826141,24,27,29,24.32,29,9.8,,59.70%,24.33,23.52,23.610001,24.9,21.21999
98,98,8.31,MMM,long,0.002845317,-0.020196443,-0.009205587,-0.07102215,177,182,169,178.94,171,175.83,,-1.74%,176.945812,177.449279,173.372136,175.316922,164.37874
99,99,8.31,NTAP,long,0.025152019,-0.000288798,0.016189949,-0.011668364,31,35,29,34.55,30,34.57,,0.06%,34.21765,35.078293,34.207768,34.771632,33.818386
100,100,8.31,ELLI,long,0.019822161,-0.056707907,0.044651015,0.041381372,95,99,89,97.63,86,92.37,,-5.39%,97.870003,99.809998,92.32,102.239998,101.919998
101,101,8.31,TMO,long,-0.011104559,-0.027520574,0.043450321,-0.026270938,148,155,142,152.06,136,146.61,,-3.58%,151.876991,150.190464,147.697249,158.476095,147.88704
102,102,8.31,WOOF,long,0.017935377,-0.032057578,-0.041378352,-0.107470657,68,73,64,70.71,62,68.34,,-3.35%,70.809998,72.080002,68.540001,67.879997,63.200001
103,103,8.31,VMW,long,-0.00777308,-0.000409096,0.007091177,-0.000272794,71,76,67,72.98,67,73.31,,0.45%,73.330002,72.760002,73.300003,73.849998,73.309998
104,104,8.31,FTV,long,0.005126271,-0.050313238,-0.018036774,-0.093032046,49,54,44,52.64,44,50.09,,-4.84%,52.602756,52.872412,49.956141,51.653972,47.709014
105,105,8.31,CXW,short,-0.005021984,-0.005649749,0.083490236,0.111520061,15,19,25,16.02,21,15.9,,0.75%,15.074122,15.149824,15.159287,13.81558,13.393055
